Node ID,Equivalent Stress,Stress X,Stress Y,Deformation X,Deformation Y,Shear
1,140063165.234,-104764420.0,-59857712.0,0.0,0.0,-77105900.0
2,50567199.7504,-49984254.0,5413.00415039,-0.00098884711042,-0.000234938153881,10109.7651367
3,50567952.2955,-49985442.0,4691.92041016,-0.000988882617094,0.000233972197748,-9117.13183594
4,138271578.479,-104346300.0,-59869960.0,0.0,0.0,76102488.0
6,56967788.1764,907519.75,53728084.0,-0.000316790858051,-5.2091058933e-07,-385720.048177
7,65994324.2491,1371636.25,49222420.0,-0.000672779686283,-4.75603968653e-07,-38361.4653320
8,88502523.0792,-85665728.0,-20464386.0,-4.0204871766e-05,-0.000130342974444,-34318434.6667
9,58681575.1275,-55018756.0,-2997894.16667,-5.7594908867e-05,-0.000163497999893,-6235204.75
10,53965467.6869,-50840302.6667,-1116385.58333,-7.37790687708e-05,-0.000182336516446,-2265145.0
11,52207929.0036,-49513686.6667,-371212.013672,-9.03531108634e-05,-0.00019381288439,-765918.59375
12,51471228.4624,-49321461.3333,-140076.476563,-0.000107374144136,-0.000201563656447,-236478.384115
13,51204486.1365,-49580966.6667,-68465.3268229,-0.000124891143059,-0.000207060584216,-6328.45963542
14,51216844.4250,-50085209.3333,-60855.7916667,-0.000142876335303,-0.00021111019305,118535.287760
15,51429592.3981,-50673117.3333,-46039.5657552,-0.000161365023814,-0.000214224608499,250550.182292
16,51744476.1583,-51259097.3333,-22117.7148438,-0.000180228758836,-0.000216724147322,291268.166667
17,52128205.7575,-51916385.3333,-23256.4240723,-0.000199509493541,-0.000218873756239,303853.145833
18,52570365.1430,-52582273.3333,-5555.01025391,-0.000219180859858,-0.000220876070671,302779.479167
19,53096647.4783,-53338094.6667,-7653.95833333,-0.000239231972955,-0.000222928574658,289901.166667
20,53443787.2679,-53788742.6667,11492.796875,-0.000259646592895,-0.000225041876547,283689.515625
21,53795919.8663,-54286192.0,-2994.28222656,-0.00028030318208,-0.000227543336223,216821.140625
22,54082156.1785,-54613778.6667,20243.4026693,-0.000301182939438,-0.000230429897783,142830.236979
23,54230329.4499,-54734840.0,47298.1770833,-0.000322173116729,-0.00023379571212,30369.5026042
24,54203803.9826,-54598100.0,79666.359375,-0.000343151914421,-0.00023768756364,-118914.875
25,53942752.0716,-54176060.0,85048.3606771,-0.000363524013665,-0.000242042020545,-297938.46875
26,53424001.2096,-53376364.0,80410.7177734,-0.000382843340049,-0.000246576266363,-459001.041667
27,52839946.2999,-52514532.0,51373.7124023,-0.000401148252422,-0.000251247809501,-542568.8125
28,52093653.0176,-51415701.3333,50732.5078125,-0.000418417621404,-0.000255806284258,-619370.666667
29,51184019.2706,-50109516.0,27738.6132813,-0.000434709450928,-0.000260003143921,-623467.708333
30,50417516.0186,-49042153.3333,-1013.40885417,-0.00045008334564,-0.000263716501649,-593211.729167
31,49877675.4610,-48313986.0,13283.7412109,-0.000464769138489,-0.000266723771347,-490129.109375
32,49118605.5446,-47352956.0,-71406.9036458,-0.000478968169773,-0.00026871386217,-289311.174479
33,48849204.8611,-47074402.6667,-88901.984375,-0.00049280654639,-0.000269837357337,-103140.587891
34,48830560.6241,-47133437.3333,-63111.9010417,-0.000506592390593,-0.000269907701295,99759.6204427
35,49087632.5037,-47616249.3333,-40426.5052083,-0.000520560715813,-0.000268990901532,257847.213542
36,49557222.4964,-48416876.0,-26757.1861979,-0.000534974213224,-0.000267207651632,381317.760417
37,50139885.5489,-49352408.0,-6135.75651042,-0.000549960706849,-0.000264659232926,444864.09375
38,50845965.5582,-50459462.6667,-1155.28409831,-0.00056571001187,-0.000261557783233,463163.541667
39,51580327.6216,-51528908.0,34121.2067871,-0.000582331733312,-0.00025809413637,467110.0625
40,52285762.8573,-52546184.0,57564.8411458,-0.000599889724981,-0.000254540151218,410056.770833
41,52762493.2942,-53222372.0,68818.2447917,-0.000618371472228,-0.000251017714618,300775.90625
42,53099913.4878,-53701421.3333,59476.6183268,-0.000637766439468,-0.000247758143814,180886.872396
43,53261106.3399,-53913504.0,50431.5100911,-0.000658051692881,-0.000244852999458,67594.6783854
44,53255719.2150,-53888773.3333,33201.8320313,-0.000678807438817,-0.000242413574597,-19477.5572917
45,53138397.8302,-53691153.3333,25315.7606201,-0.00069949234603,-0.00024049008789,-97431.9830729
46,52929586.1838,-53372252.0,11129.6414795,-0.000720024050679,-0.000239044864429,-149654.242188
47,52663178.3553,-52974834.6667,-3652.25390625,-0.000740344170481,-0.000237990534515,-175383.916667
48,52389315.9675,-52557000.0,-5614.62760417,-0.000760439492296,-0.000237261017901,-186700.822917
49,52120623.5391,-52160565.3333,-13749.6901042,-0.000780314789154,-0.000236813837546,-182383.192708
50,51849313.0164,-51750788.0,-10508.9117839,-0.000799955741968,-0.000236533131101,-164164.203125
51,51592854.7991,-51367792.0,-7304.19628906,-0.000819395470899,-0.000236373147345,-159585.723958
52,51359658.9718,-51033978.6667,-11822.8330078,-0.000838638748974,-0.00023630198848,-142969.981771
53,51155961.9215,-50738618.6667,-8803.29101563,-0.000857720966451,-0.000236257707002,-128662.635417
