Node ID,Equivalent Stress,Stress X,Stress Y,Deformation X,Deformation Y,Shear
1,87043895.3529,88287181.8542,17960361.0039,0.0,0.0,18664657.5928
2,49995090.6478,49990341.1865,-9493.40919033,0.00148476707935,0.000110888488591,-8327.69228145
3,49996027.4999,49992116.9281,-7817.63764098,0.00148476672173,-0.000110886193812,6568.86259094
4,86949129.4349,88176544.1895,17944409.8473,0.0,0.0,-18666568.7561
6,56828618.4088,-40079.9727358,-56848603.5665,0.000964968860149,1.50374819441e-09,-40934.3838692
7,56994065.4871,56078845.9778,-1695549.50794,5.32912909985e-05,3.69793139398e-05,-1357348.72768
8,50436176.7885,50208312.9883,-444230.924671,9.06655937433e-05,5.80456033349e-05,-379389.637460
9,48184458.6990,48124361.6740,-119001.000111,0.000125537708402,7.25905671716e-05,-124986.910572
10,47525347.8430,47493923.1873,-62401.8289770,0.00015955747664,8.33220556378e-05,-78201.0654608
11,47627126.2370,47608516.6931,-36998.5013579,0.000193434134126,9.13791731e-05,-56211.5485470
12,48160312.5496,48150113.4237,-20252.5292989,0.000227557659149,9.7491838038e-05,-47294.8712607
13,48964406.9145,48954297.3836,-20067.2942835,0.00026217803359,0.000102213516831,-48748.2522925
14,49925340.4622,49921395.6197,-7813.27852746,0.000297429472208,0.000105984188616,-35444.0193623
15,50987911.9379,50985707.6009,-4351.97145756,0.000333416342735,0.000109202489257,-30967.3715383
16,52064858.4717,52066715.2405,3750.98069586,0.000370174497366,0.000112229831517,-25422.5743314
17,53064459.8529,53069707.2347,10533.3653240,0.000407686889172,0.000115412048995,-25594.0674494
18,53862096.4190,53873462.6770,22777.6546963,0.000445861071348,0.000119063571095,-26090.5589287
19,54325207.8947,54337253.5706,24099.4111324,0.000484494268894,0.000123446337879,-865.027463684
20,54272965.6831,54292220.1157,38531.8280314,0.000522930622101,0.000128652334213,6651.72003210
21,53713221.9016,53718896.2301,11355.1680309,0.000559465408325,0.00013442106545,9183.90601873
22,52576772.4030,52584915.1611,16373.4634407,0.000593897640705,0.000140450119972,38396.6490626
23,51087670.3127,51092183.4310,9236.56260905,0.000626260697842,0.000146340787411,59668.7334279
24,49492911.0868,49489087.4227,-7473.51887791,0.000656723022461,0.000151618465781,53417.9459016
25,48075783.7653,48065072.3775,-21293.2431605,0.000685575723648,0.000155796587467,44299.4367331
26,47102906.3355,47094628.6519,-16549.6195356,0.000713275551796,0.000158457055688,4665.93137632
27,46791365.5183,46774653.1169,-33401.5805274,0.000740375995636,0.000159328997135,-9126.12521400
28,47240490.7240,47224545.7967,-31822.4575991,0.000767528891563,0.000158309817314,-28427.4603861
29,48350497.6837,48341932.9325,-17033.6392111,0.000795345306396,0.000155505284667,-38372.7954080
30,49928068.8532,49925940.1957,-4065.44677511,0.000824410796165,0.000151211202145,-56471.8320966
31,51694386.1898,51695315.0431,2022.00074758,0.000855176150799,0.000145858377218,-53197.7626185
32,53353146.3382,53359943.3899,13655.5920665,0.000887962222099,0.000139944091439,-32356.1411351
33,54663186.8201,54675150.5534,24013.8463366,0.000922953724861,0.000133975431323,-37812.2168283
34,55476069.1577,55491062.1643,30016.6942179,0.000960200309753,0.000128400549293,-18496.0483263
35,55766486.3669,55777679.4434,22393.0126522,0.000999555408955,0.000123571015894,-1467.61784951
36,55587669.2779,55597002.6652,18679.0329947,0.00103931939602,0.000119812011719,11828.4268149
37,55091769.2395,55097293.8538,11066.3172284,0.00107882630825,0.000117101602256,16828.5255010
38,54414917.8850,54417264.3026,4708.69858206,0.0011179009676,0.000115276433527,16798.5974501
39,53664889.2496,53664855.9570,-51.9844664571,0.00115645432472,0.000114142172039,16161.1294995
40,52911340.2786,52910719.5536,-1232.22687398,0.00119446504116,0.00011350646615,12739.1964197
41,52204625.1394,52202924.0926,-3396.48353596,0.00123195159435,0.000113199025393,9733.33495980
42,51571367.6376,51569184.6212,-4362.00568220,0.00126895809174,0.00011307118088,8029.43188076
43,51025385.2071,51022467.2953,-5831.59859525,0.00130554151535,0.000112999938428,7959.86883653
44,50578946.1458,50574924.4690,-8038.29935224,0.00134176838398,0.000112883575261,8310.22625789
45,50235531.6369,50232896.1690,-5270.51991473,0.00137771618366,0.000112642154098,135.778721112
46,50024958.5768,50022585.5509,-4745.71354668,0.00141346037388,0.000112222738564,99.8907101651
47,49964137.2455,49962055.2063,-4151.14063435,0.0014491134882,0.000111613847315,-14531.6077396
90,50015666.4898,49996929.1687,-37444.2053338,0.00148550891876,9.90885421634e-05,-12526.8511474
91,49979307.5411,49993891.3981,29180.5273543,0.00148636603355,8.72868299484e-05,-768.953022392
92,49875207.3638,49994537.3535,239524.180690,0.00148740398884,7.55851939321e-05,4938.14188424
93,49723293.6980,49997502.6449,553034.842014,0.0014885904789,6.40752986073e-05,7722.08410005
94,49545480.3008,50001049.0417,924068.649610,0.00148984539509,5.28144389391e-05,8405.47603245
95,49363236.2869,50001965.8407,1303274.31361,0.00149106442928,4.18262667954e-05,9355.19921283
96,49200265.8695,50003589.6301,1648063.46099,0.00149214506149,3.10994163156e-05,7338.15102528
97,49072370.4353,50004932.4036,1921575.18864,0.0014929933548,2.05966383219e-05,4533.93161782
98,48993310.9694,50007411.9568,2095443.32822,0.00149353408813,1.02577889338e-05,5295.62061032
99,48965143.2572,50007406.8705,2155734.30061,0.00149371957779,-3.06482860424e-10,-1180.86230941
100,48992089.9448,50006590.5253,2096297.34357,0.00149353396893,-1.02541185915e-05,-712.892351051
101,49069027.6066,50002918.2434,1924403.66745,0.00149299311638,-2.0595908165e-05,-5977.16231520
102,49196948.5472,50001464.8438,1650575.28019,0.00149214470387,-3.10969073325e-05,-3782.77932759
103,49363627.4202,50002254.4861,1303059.89583,0.00149106419086,-4.18241918087e-05,-8676.05643968
104,49544184.3183,49999439.2395,923424.283663,0.00148984467983,-5.28122521937e-05,-9299.70496024
105,49723347.5934,49997389.4755,552695.651849,0.00148859059811,-6.40723183751e-05,-8342.89131065
106,49873990.4753,49993179.3213,239243.065317,0.001487403512,-7.55838602781e-05,-8784.41333771
107,49979699.9561,49994620.0053,29853.5566156,0.00148636603355,-8.72832387686e-05,1184.53878288
108,50016511.4229,49997645.0602,-37704.1902393,0.0014855080843,-9.90862995386e-05,10970.0628867
129,49963155.5742,49961835.2254,-2632.60959764,0.00144911265373,-0.000111612118781,11531.2089523
130,50029839.1883,50026655.8329,-6365.42844586,0.00141346335411,-0.000112220779061,3355.04580289
131,50241166.8986,50236587.5244,-9154.90020998,0.00137771248817,-0.000112640835345,-6594.79327805
132,50576341.0557,50573164.6220,-6350.25893765,0.00134176898003,-0.000112881600857,-5821.95821335
133,51025749.2511,51022776.2858,-5941.79872132,0.00130554163456,-0.000112997770309,-7838.97237852
134,51572494.1328,51570034.0271,-4914.07361308,0.00126895785332,-0.000113069191575,-9973.81005436
135,52207898.6839,52205895.7418,-3997.66582996,0.00123195111752,-0.000113197475672,-11791.0091455
136,52912434.4884,52910872.1415,-3113.59362483,0.00119446349144,-0.000113505832851,-13905.1858957
137,53660713.2028,53661862.6912,2308.86612553,0.00115645384789,-0.00011413948983,-13249.7583206
138,54414121.1332,54416107.1777,3984.67733370,0.00111790049076,-0.00011527480185,-14978.5714845
139,55094561.3815,55099549.6114,9990.52962288,0.00107882630825,-0.000117100149393,-15278.7067927
140,55593176.8033,55600564.3209,14782.8322370,0.00103931951523,-0.000119810715318,-9479.16585331
141,55769200.1109,55780193.3289,21992.9606343,0.000999551415443,-0.000123569734395,-608.015805483
142,55474641.4508,55490370.4325,31512.4113113,0.000960202336311,-0.000128398984671,27542.1162369
143,54648593.9927,54663274.1292,29429.4729829,0.000922946631908,-0.00013397449255,32311.5407179
